종목,심볼번호,고유번호,업종,업종코드,WICS,WICS코드,연도,자산,부채,자본,매출액,액면가
에스엠,260930,41510,오락·문화,106,방송과엔터테인먼트,G502020,2018,1.00247E+12,4.26346E+11,5.76128E+11,6.12227E+11,51900
에스엠,260930,41510,오락·문화,106,방송과엔터테인먼트,G502020,2019,1.11562E+12,4.82852E+11,6.32768E+11,6.57826E+11,38700
에스엠,260930,41510,오락·문화,106,방송과엔터테인먼트,G502020,2020,1.06887E+12,4.52734E+11,6.16139E+11,5.79876E+11,29950
지씨셀,1010642,144510,전문기술,99,건강관리업체 및 서비스,G351020,2019,68064635506,20201476121,47863159385,57895110070,37900
지씨셀,1010642,144510,전문기술,99,건강관리업체 및 서비스,G351020,2020,76362721852,24537393556,51825328296,85562367521,93700
케이엠더블유,226352,32500,통신장비,157,통신장비,G452010,2015,3.20606E+11,2.6091E+11,59695599459,2.19822E+11,3430
케이엠더블유,226352,32500,통신장비,157,통신장비,G452010,2016,2.083E+11,1.62737E+11,45563189808,2.10541E+11,3614
케이엠더블유,226352,32500,통신장비,157,통신장비,G452010,2017,2.13355E+11,1.6205E+11,51304463872,2.03721E+11,13046
케이엠더블유,226352,32500,통신장비,157,통신장비,G452010,2018,2.73498E+11,1.87279E+11,86218503905,2.96268E+11,11200
케이엠더블유,226352,32500,통신장비,157,통신장비,G452010,2019,4.27047E+11,2.10264E+11,2.16783E+11,6.82876E+11,52000
케이엠더블유,226352,32500,통신장비,157,통신장비,G452010,2020,3.87824E+11,1.43834E+11,2.4399E+11,3.38496E+11,80700
제넥신,545929,95700,연구·개발,98,생물공학,G352010,2020,5.96908E+11,60374712273,5.36533E+11,18543494616,124300
비덴트,693651,121800,통신장비,157,디스플레이 패널,G454010,2015,70428673723,19383126008,51045547715,22678784513,26000
비덴트,693651,121800,통신장비,157,디스플레이 패널,G454010,2016,93265940274,42217496063,51048444211,23993768264,6963
비덴트,693651,121800,통신장비,157,디스플레이 패널,G454010,2017,1.63731E+11,23837171714,1.39893E+11,23931469608,22454
비덴트,693651,121800,통신장비,157,디스플레이 패널,G454010,2018,2.81888E+11,39559224598,2.42328E+11,21471982336,7318
비덴트,693651,121800,통신장비,157,디스플레이 패널,G454010,2019,3.26822E+11,77747163497,2.49074E+11,18671852557,7800
비덴트,693651,121800,통신장비,157,디스플레이 패널,G454010,2020,4.03813E+11,69616323322,3.34197E+11,10709592123,8370
자이언트스텝,1264438,289220,오락·문화,106,양방향미디어와서비스,G502050,2020,22663934746,7849042726,14814892020,20223107408,0
고영,579999,98460,기계·장비,70,전자장비와 기기,G452030,2015,1.58858E+11,27381979593,1.31476E+11,1.45904E+11,7720
고영,579999,98460,기계·장비,70,전자장비와 기기,G452030,2016,1.95121E+11,37853661250,1.57268E+11,1.71794E+11,9200
고영,579999,98460,기계·장비,70,전자장비와 기기,G452030,2017,2.05207E+11,43890214327,1.61317E+11,2.03369E+11,16600
고영,579999,98460,기계·장비,70,전자장비와 기기,G452030,2018,2.79059E+11,53192796903,2.25867E+11,2.38209E+11,16560
고영,579999,98460,기계·장비,70,전자장비와 기기,G452030,2019,3.05481E+11,61812656261,2.43669E+11,2.22057E+11,20940
