종목,symbol,stock_code,업종,type_code,WICS,WICS_code,분기,자산,부채,자본,매출액,액면가
NAVER,266961,35420,서비스업,26,양방향미디어와서비스,G502050,2016_1,4.53E+12,2.14E+12,2.39E+12,9.37E+11,129181
NAVER,266961,35420,서비스업,26,양방향미디어와서비스,G502050,2016_2,4.93E+12,2.29E+12,2.63E+12,9.87E+11,142200
NAVER,266961,35420,서비스업,26,양방향미디어와서비스,G502050,2016_3,6.00E+12,1.77E+12,4.23E+12,1.01E+12,177449
NAVER,266961,35420,서비스업,26,양방향미디어와서비스,G502050,2016_4,6.37E+12,2.24E+12,4.13E+12,4.02E+12,155820
NAVER,266961,35420,서비스업,26,양방향미디어와서비스,G502050,2017_1,6.44E+12,2.17E+12,4.27E+12,1.08E+12,172442
NAVER,266961,35420,서비스업,26,양방향미디어와서비스,G502050,2017_2,7.20E+12,2.25E+12,4.95E+12,1.13E+12,169240
NAVER,266961,35420,서비스업,26,양방향미디어와서비스,G502050,2017_3,7.62E+12,2.48E+12,5.14E+12,1.20E+12,149611
NAVER,266961,35420,서비스업,26,양방향미디어와서비스,G502050,2017_4,8.02E+12,2.71E+12,5.31E+12,4.68E+12,174447
NAVER,266961,35420,서비스업,26,양방향미디어와서비스,G502050,2018_1,8.37E+12,2.99E+12,5.38E+12,1.31E+12,156822
NAVER,266961,35420,서비스업,26,양방향미디어와서비스,G502050,2018_2,8.53E+12,2.85E+12,5.68E+12,1.36E+12,153217
NAVER,266961,35420,서비스업,26,양방향미디어와서비스,G502050,2018_3,9.91E+12,4.04E+12,5.88E+12,1.40E+12,143801
NAVER,266961,35420,서비스업,26,양방향미디어와서비스,G502050,2018_4,9.88E+12,3.93E+12,5.95E+12,5.59E+12,121000
NAVER,266961,35420,서비스업,26,양방향미디어와서비스,G502050,2019_1,1.09E+13,4.85E+12,6.05E+12,1.51E+12,124000
NAVER,266961,35420,서비스업,26,양방향미디어와서비스,G502050,2019_2,1.14E+13,5.17E+12,6.27E+12,1.63E+12,114500
NAVER,266961,35420,서비스업,26,양방향미디어와서비스,G502050,2019_3,1.18E+13,5.37E+12,6.44E+12,1.66E+12,155000
NAVER,266961,35420,서비스업,26,양방향미디어와서비스,G502050,2019_4,1.23E+13,5.80E+12,6.50E+12,6.59E+12,187500
NAVER,266961,35420,서비스업,26,양방향미디어와서비스,G502050,2020_1,1.38E+13,6.31E+12,7.46E+12,1.73E+12,163500
NAVER,266961,35420,서비스업,26,양방향미디어와서비스,G502050,2020_2,1.47E+13,6.72E+12,7.96E+12,1.90E+12,268000
NAVER,266961,35420,서비스업,26,양방향미디어와서비스,G502050,2020_3,1.55E+13,8.04E+12,7.41E+12,1.36E+12,297500
NAVER,266961,35420,서비스업,26,양방향미디어와서비스,G502050,2020_4,1.70E+13,8.76E+12,8.26E+12,5.30E+12,291500
삼성바이오로직스,877059,207940,의약품,9,제약,G352020,2020_1,5.94E+12,1.55E+12,4.39E+12,2.07E+11,455000
삼성바이오로직스,877059,207940,의약품,9,제약,G352020,2020_2,6.03E+12,1.59E+12,4.44E+12,3.08E+11,784000
삼성바이오로직스,877059,207940,의약품,9,제약,G352020,2020_3,6.14E+12,1.64E+12,4.50E+12,2.75E+11,697000
삼성바이오로직스,877059,207940,의약품,9,제약,G352020,2020_4,6.42E+12,1.83E+12,4.60E+12,1.16E+12,819000
카카오,258801,35720,서비스업,26,양방향미디어와서비스,G502050,2015_4,3.19E+12,6.03E+11,2.59E+12,9.32E+11,23583
카카오,258801,35720,서비스업,26,양방향미디어와서비스,G502050,2016_1,5.19E+12,1.77E+12,3.42E+12,2.42E+11,20151
카카오,258801,35720,서비스업,26,양방향미디어와서비스,G502050,2016_2,5.21E+12,1.70E+12,3.51E+12,3.77E+11,18686
카카오,258801,35720,서비스업,26,양방향미디어와서비스,G502050,2016_4,5.48E+12,1.78E+12,3.70E+12,1.46E+12,15534
카카오,258801,35720,서비스업,26,양방향미디어와서비스,G502050,2017_1,5.49E+12,1.75E+12,3.75E+12,4.44E+11,16759
카카오,258801,35720,서비스업,26,양방향미디어와서비스,G502050,2017_2,5.81E+12,1.82E+12,3.99E+12,4.68E+11,20131
카카오,258801,35720,서비스업,26,양방향미디어와서비스,G502050,2017_3,6.49E+12,2.05E+12,4.45E+12,5.15E+11,29504
LG화학,356361,51910,화학,8,화학,G151010,2015_4,1.86E+13,5.48E+12,1.31E+13,2.02E+13,332500
LG화학,356361,51910,화학,8,화학,G151010,2016_1,1.89E+13,5.75E+12,1.31E+13,4.87E+12,333500
LG화학,356361,51910,화학,8,화학,G151010,2016_2,1.98E+13,6.36E+12,1.35E+13,5.22E+12,263500
LG화학,356361,51910,화학,8,화학,G151010,2016_3,2.00E+13,6.37E+12,1.37E+13,5.05E+12,242000
LG화학,356361,51910,화학,8,화학,G151010,2016_4,2.05E+13,6.44E+12,1.41E+13,2.07E+13,250000
LG화학,356361,51910,화학,8,화학,G151010,2017_1,2.22E+13,7.27E+12,1.49E+13,6.49E+12,298000
LG화학,356361,51910,화학,8,화학,G151010,2017_2,2.27E+13,7.14E+12,1.55E+13,6.38E+12,281000
