종목,심볼번호,고유번호,업종,업종코드,WICS,WICS코드,time,avg_salary,employee_num,자산총계,부채총계,자본총계,매출액,당기순이익,시가,발행주식
SK하이닉스,164779,660,"전기,전자",13.0,반도체와 반도체 장비,G453010,2018_1,48983000.0,24725,"49,125,123,000,000","12,746,637,000,000","36,378,486,000,000","8,719,691,000,000","3,121,329,000,000",81700,"728,002,365"
SK하이닉스,164779,660,"전기,전자",13.0,반도체와 반도체 장비,G453010,2018_2,65668500.0,25161,"53,257,080,000,000","12,479,404,000,000","40,777,676,000,000","10,370,507,000,000","4,328,543,000,000",85000,"728,002,365"
SK하이닉스,164779,660,"전기,전자",13.0,반도체와 반도체 장비,G453010,2018_3,82814000.0,25889,"57,377,252,000,000","13,888,426,000,000","43,488,826,000,000","11,416,788,000,000","4,692,193,000,000",74300,"728,002,365"
SK하이닉스,164779,660,"전기,전자",13.0,반도체와 반도체 장비,G453010,2018_4,103046000.0,25972,"63,658,335,000,000","16,806,004,000,000","46,852,331,000,000","40,445,066,000,000","15,539,984,000,000",61300,"728,002,365"
SK하이닉스,164779,660,"전기,전자",13.0,반도체와 반도체 장비,G453010,2019_1,54753500.0,27768,"65,131,501,000,000","17,965,494,000,000","47,166,007,000,000","6,772,655,000,000","1,102,130,000,000",75600,"728,002,365"
SK하이닉스,164779,660,"전기,전자",13.0,반도체와 반도체 장비,G453010,2019_2,71704500.0,27768,"63,032,264,000,000","15,321,477,000,000","47,710,787,000,000","6,452,201,000,000","537,025,000,000",71000,"728,002,365"
SK하이닉스,164779,660,"전기,전자",13.0,반도체와 반도체 장비,G453010,2019_3,92096000.0,28237,"63,671,751,000,000","15,405,525,000,000","48,266,226,000,000","6,838,766,000,000","495,484,000,000",80600,"728,002,365"
SK하이닉스,164779,660,"전기,전자",13.0,반도체와 반도체 장비,G453010,2019_4,112725500.0,28244,"64,789,494,000,000","16,846,299,000,000","47,943,195,000,000","26,990,733,000,000","2,016,391,000,000",96000,"728,002,365"
SK하이닉스,164779,660,"전기,전자",13.0,반도체와 반도체 장비,G453010,2020_1,28975500.0,28670,"67,142,787,000,000","18,895,063,000,000","48,247,724,000,000","7,198,892,000,000","649,050,000,000",84000,"728,002,365"
SK하이닉스,164779,660,"전기,전자",13.0,반도체와 반도체 장비,G453010,2020_2,46499500.0,28609,"69,259,297,000,000","19,856,421,000,000","49,402,876,000,000","8,606,534,000,000","1,264,260,000,000",86200,"728,002,365"
