종목,심볼번호,고유번호,업종,업종코드,WICS,WICS코드,time,avg_salary,employee_num,자산총계,부채총계,자본총계,매출액,당기순이익,시가,발행주식,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
에코프로비엠,1160363,247540,일반전기전자,72,전기제품,G453520,2020_3,5550000,915,"742,198,345,241","301,833,824,308","440,364,520,933","250,204,137,867","13,651,433,168",136000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
에코프로비엠,1160363,247540,일반전기전자,72,전기제품,G453520,2020_4,5397750,930,"798,986,124,781","331,668,500,645","467,317,624,136","854,748,843,876","46,658,311,822",177400,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
펄어비스,1152470,263750,디지털컨텐츠,154,게임엔터테인먼트,G502040,2015_1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
펄어비스,1152470,263750,디지털컨텐츠,154,게임엔터테인먼트,G502040,2015_2,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
펄어비스,1152470,263750,디지털컨텐츠,154,게임엔터테인먼트,G502040,2015_3,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
펄어비스,1152470,263750,디지털컨텐츠,154,게임엔터테인먼트,G502040,2015_4,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
펄어비스,1152470,263750,디지털컨텐츠,154,게임엔터테인먼트,G502040,2016_1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
펄어비스,1152470,263750,디지털컨텐츠,154,게임엔터테인먼트,G502040,2016_2,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
펄어비스,1152470,263750,디지털컨텐츠,154,게임엔터테인먼트,G502040,2016_3,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
펄어비스,1152470,263750,디지털컨텐츠,154,게임엔터테인먼트,G502040,2016_4,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
펄어비스,1152470,263750,디지털컨텐츠,154,게임엔터테인먼트,G502040,2017_1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
펄어비스,1152470,263750,디지털컨텐츠,154,게임엔터테인먼트,G502040,2017_2,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
펄어비스,1152470,263750,디지털컨텐츠,154,게임엔터테인먼트,G502040,2017_3,13250000,288,0,0,0,0,0,22880,"12,066,300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
펄어비스,1152470,263750,디지털컨텐츠,154,게임엔터테인먼트,G502040,2017_4,36625000,567,"296,580,573,490","21,383,261,543","275,197,311,947",0,"14,730,523,696",50420,"10,266,300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
펄어비스,1152470,263750,디지털컨텐츠,154,게임엔터테인먼트,G502040,2018_1,16382500,404,"322,607,416,472","37,414,715,603","285,192,700,869",0,"27,833,316,635",46640,"12,066,300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
펄어비스,1152470,263750,디지털컨텐츠,154,게임엔터테인먼트,G502040,2018_2,35444750,469,"392,104,881,138","49,108,952,770","342,995,928,368",0,"52,160,553,956",45380,"12,733,500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
펄어비스,1152470,263750,디지털컨텐츠,154,게임엔터테인먼트,G502040,2018_3,44037.5,518,"466,575,516,714","71,143,916,076","395,431,600,638",0,"51,710,520,053",42520,"12,876,500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
펄어비스,1152470,263750,디지털컨텐츠,154,게임엔터테인먼트,G502040,2018_4,50251000,647,"712,530,156,692","304,504,407,755","408,025,748,937",0,"146,446,177,343",43559,"12,943,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
펄어비스,1152470,263750,디지털컨텐츠,154,게임엔터테인먼트,G502040,2019_1,34445500,662,"788,741,897,875","355,150,742,685","433,591,155,190",0,"14,147,362,257",33680,"13,015,720",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
펄어비스,1152470,263750,디지털컨텐츠,154,게임엔터테인먼트,G502040,2019_2,46411500,714,"825,826,935,902","332,839,200,573","492,987,735,329",0,"51,571,951,761",42460,"13,020,200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
펄어비스,1152470,263750,디지털컨텐츠,154,게임엔터테인먼트,G502040,2019_3,55260250,777,"899,333,811,740","354,362,654,599","544,971,157,141",0,"43,835,339,595",39780,"13,023,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
