종목,심볼번호,고유번호,업종,업종코드,WICS,WICS코드,분기,자산,부채,자본,매출액,액면가
엘앤에프,398701,66970,IT부품,160,전기제품,G453520,2020_3,4.70274E+11,2.57462E+11,2.12811E+11,84245947166,39721
엘앤에프,398701,66970,IT부품,160,전기제품,G453520,2020_4,4.66217E+11,2.68612E+11,1.97606E+11,3.56106E+11,70979
카카오게임즈,1137383,293490,디지털컨텐츠,154,게임엔터테인먼트,G502040,2020_3,1.16754E+12,2.44005E+11,9.23533E+11,1.50535E+11,55400
카카오게임즈,1137383,293490,디지털컨텐츠,154,게임엔터테인먼트,G502040,2020_4,1.30991E+12,2.84532E+11,1.02538E+12,4.95521E+11,46300
위메이드,444329,112040,디지털컨텐츠,154,게임엔터테인먼트,G502040,2016_1,4.52768E+11,63662618920,3.89105E+11,32001792512,16139
위메이드,444329,112040,디지털컨텐츠,154,게임엔터테인먼트,G502040,2016_2,4.39649E+11,61226518058,3.78422E+11,25917137182,12629
위메이드,444329,112040,디지털컨텐츠,154,게임엔터테인먼트,G502040,2016_4,4.03341E+11,55157747142,3.48184E+11,1.07979E+11,11315
위메이드,444329,112040,디지털컨텐츠,154,게임엔터테인먼트,G502040,2017_1,4.2905E+11,79651891092,3.49398E+11,33846192789,14851
위메이드,444329,112040,디지털컨텐츠,154,게임엔터테인먼트,G502040,2017_2,4.25909E+11,86562670045,3.39347E+11,22189663556,16670
위메이드,444329,112040,디지털컨텐츠,154,게임엔터테인먼트,G502040,2017_3,4.37229E+11,94688416673,3.42541E+11,24388597516,16342
위메이드,444329,112040,디지털컨텐츠,154,게임엔터테인먼트,G502040,2017_4,4.53301E+11,1.11266E+11,3.42035E+11,1.09568E+11,25460
위메이드,444329,112040,디지털컨텐츠,154,게임엔터테인먼트,G502040,2018_1,4.76989E+11,1.37943E+11,3.39046E+11,35096049106,26167
위메이드,444329,112040,디지털컨텐츠,154,게임엔터테인먼트,G502040,2018_2,4.35025E+11,93274143187,3.41751E+11,27772908493,23591
위메이드,444329,112040,디지털컨텐츠,154,게임엔터테인먼트,G502040,2018_3,4.24313E+11,99579164701,3.24734E+11,31791172314,15609
위메이드,444329,112040,디지털컨텐츠,154,게임엔터테인먼트,G502040,2018_4,3.50825E+11,75243840838,2.75581E+11,1.27076E+11,16847
위메이드,444329,112040,디지털컨텐츠,154,게임엔터테인먼트,G502040,2019_1,3.40342E+11,81843611345,2.58499E+11,26686387052,25662
위메이드,444329,112040,디지털컨텐츠,154,게임엔터테인먼트,G502040,2019_2,3.21094E+11,63177892588,2.57916E+11,33873227472,16872
위메이드,444329,112040,디지털컨텐츠,154,게임엔터테인먼트,G502040,2019_3,3.17608E+11,59666625243,2.57941E+11,28946166901,15079
위메이드,444329,112040,디지털컨텐츠,154,게임엔터테인먼트,G502040,2019_4,2.96259E+11,61598029106,2.34661E+11,1.13648E+11,15230
위메이드,444329,112040,디지털컨텐츠,154,게임엔터테인먼트,G502040,2020_1,3.07895E+11,71784661579,2.3611E+11,30820310003,10002
위메이드,444329,112040,디지털컨텐츠,154,게임엔터테인먼트,G502040,2020_2,3.09384E+11,71870991696,2.37513E+11,25077924329,20257
위메이드,444329,112040,디지털컨텐츠,154,게임엔터테인먼트,G502040,2020_3,3.08295E+11,74501307386,2.33794E+11,23729357557,18691
위메이드,444329,112040,디지털컨텐츠,154,게임엔터테인먼트,G502040,2020_4,3.23371E+11,67350352265,2.5602E+11,1.26242E+11,19625
셀트리온제약,541349,68760,제약,66,제약,G352020,2015_4,4.66772E+11,2.30537E+11,2.36234E+11,74732429050,15201
셀트리온제약,541349,68760,제약,66,제약,G352020,2016_1,4.70031E+11,1.95898E+11,2.74133E+11,17955591680,14458
셀트리온제약,541349,68760,제약,66,제약,G352020,2016_2,4.77413E+11,1.76674E+11,3.00739E+11,25907505372,20531
셀트리온제약,541349,68760,제약,66,제약,G352020,2016_3,4.84425E+11,1.82114E+11,3.02311E+11,22123534653,21841
셀트리온제약,541349,68760,제약,66,제약,G352020,2016_4,5.10022E+11,1.65375E+11,3.44648E+11,1.04811E+11,21847
셀트리온제약,541349,68760,제약,66,제약,G352020,2017_1,5.00806E+11,1.57698E+11,3.43109E+11,22164656831,19236
셀트리온제약,541349,68760,제약,66,제약,G352020,2017_2,5.07709E+11,1.63531E+11,3.44178E+11,33846527195,19878
셀트리온제약,541349,68760,제약,66,제약,G352020,2017_3,5.13348E+11,1.68407E+11,3.44942E+11,34493162544,17496
셀트리온제약,541349,68760,제약,66,제약,G352020,2017_4,5.19619E+11,1.76646E+11,3.42974E+11,1.3586E+11,57171
셀트리온제약,541349,68760,제약,66,제약,G352020,2018_1,4.91899E+11,1.69015E+11,3.22884E+11,27320066456,78751
셀트리온제약,541349,68760,제약,66,제약,G352020,2018_2,4.953E+11,1.75734E+11,3.19566E+11,34298534927,84450
셀트리온제약,541349,68760,제약,66,제약,G352020,2018_3,4.51043E+11,1.82066E+11,2.68977E+11,34737748317,74267
셀트리온제약,541349,68760,제약,66,제약,G352020,2018_4,4.52444E+11,1.82409E+11,2.70035E+11,1.4688E+11,60067
셀트리온제약,541349,68760,제약,66,제약,G352020,2019_1,4.45918E+11,1.75452E+11,2.70466E+11,38589446896,51660
셀트리온제약,541349,68760,제약,66,제약,G352020,2019_2,4.60663E+11,1.87893E+11,2.7277E+11,42621269467,45120
셀트리온제약,541349,68760,제약,66,제약,G352020,2019_3,4.55475E+11,1.80321E+11,2.75154E+11,47435556126,33490
셀트리온제약,541349,68760,제약,66,제약,G352020,2019_4,4.7098E+11,1.90949E+11,2.80031E+11,1.73513E+11,39075
셀트리온제약,541349,68760,제약,66,제약,G352020,2020_1,4.8694E+11,2.05621E+11,2.8132E+11,44389290759,66776
셀트리온제약,541349,68760,제약,66,제약,G352020,2020_2,5.01374E+11,2.15745E+11,2.85629E+11,46393015625,128454
셀트리온제약,541349,68760,제약,66,제약,G352020,2020_3,5.27832E+11,2.38279E+11,2.89553E+11,65491837462,111392
셀트리온제약,541349,68760,제약,66,제약,G352020,2020_4,5.48075E+11,2.47514E+11,3.00561E+11,2.33568E+11,228000
씨젠,788773,96530,제약,66,생명과학 도구 및 서비스,G352030,2015_4,1.94048E+11,58744276352,1.35303E+11,65136597357,19398
씨젠,788773,96530,제약,66,생명과학 도구 및 서비스,G352030,2016_1,1.96161E+11,59634835682,1.36526E+11,17232361303,17338
씨젠,788773,96530,제약,66,생명과학 도구 및 서비스,G352030,2016_2,2.0028E+11,62178143715,1.38102E+11,18521382657,16861
씨젠,788773,96530,제약,66,생명과학 도구 및 서비스,G352030,2016_3,1.99078E+11,61974667584,1.37103E+11,17789321772,18519
씨젠,788773,96530,제약,66,생명과학 도구 및 서비스,G352030,2016_4,2.07618E+11,65388144420,1.4223E+11,73693589458,17614
씨젠,788773,96530,제약,66,생명과학 도구 및 서비스,G352030,2017_1,2.0891E+11,67977337000,1.40933E+11,21001391396,16534
씨젠,788773,96530,제약,66,생명과학 도구 및 서비스,G352030,2017_2,2.13562E+11,71162161326,1.424E+11,22273224241,18871
씨젠,788773,96530,제약,66,생명과학 도구 및 서비스,G352030,2017_3,1.85946E+11,44894529705,1.41051E+11,20300158791,13845
씨젠,788773,96530,제약,66,생명과학 도구 및 서비스,G352030,2017_4,1.79724E+11,39493222802,1.4023E+11,87662544746,16810
씨젠,788773,96530,제약,66,생명과학 도구 및 서비스,G352030,2018_1,1.73124E+11,31579402018,1.41544E+11,24464293047,17514
씨젠,788773,96530,제약,66,생명과학 도구 및 서비스,G352030,2018_2,1.7964E+11,31733408073,1.47906E+11,24606612016,13946
씨젠,788773,96530,제약,66,생명과학 도구 및 서비스,G352030,2018_3,1.62305E+11,27696332193,1.34608E+11,21808757063,12438
씨젠,788773,96530,제약,66,생명과학 도구 및 서비스,G352030,2018_4,1.63806E+11,35449567140,1.28356E+11,1.02265E+11,8141
씨젠,788773,96530,제약,66,생명과학 도구 및 서비스,G352030,2019_1,1.63605E+11,32354975469,1.3125E+11,27479863480,11006
씨젠,788773,96530,제약,66,생명과학 도구 및 서비스,G352030,2019_2,1.82636E+11,41616833330,1.41019E+11,29299435578,13544
씨젠,788773,96530,제약,66,생명과학 도구 및 서비스,G352030,2019_3,1.82591E+11,35607638139,1.46983E+11,31398320963,10428
씨젠,788773,96530,제약,66,생명과학 도구 및 서비스,G352030,2019_4,1.95716E+11,42889887717,1.52826E+11,1.21953E+11,15403
씨젠,788773,96530,제약,66,생명과학 도구 및 서비스,G352030,2020_1,2.65312E+11,81187791674,1.84124E+11,81771622784,58347
씨젠,788773,96530,제약,66,생명과학 도구 및 서비스,G352030,2020_2,5.00114E+11,1.90302E+11,3.09812E+11,2.74831E+11,57493
씨젠,788773,96530,제약,66,생명과학 도구 및 서비스,G352030,2020_3,8.00181E+11,3.3861E+11,4.61571E+11,3.26875E+11,135390
씨젠,788773,96530,제약,66,생명과학 도구 및 서비스,G352030,2020_4,1.09457E+12,4.48169E+11,6.46406E+11,1.12522E+12,96391
에이치엘비,199252,28300,운송장비·부품,75,조선,G201065,2015_4,1.85172E+11,70782178668,1.1439E+11,38460683507,9651
에이치엘비,199252,28300,운송장비·부품,75,조선,G201065,2016_1,1.90474E+11,61471342797,1.29003E+11,9208033162,7432
