name,symbol,stock_code,type,type_code,WICS,WICS_code,time,assets,dept,equity,income,real_income,price,stock_count,total_value
NAVER,266961,35420,서비스업,26,양방향미디어와서비스,G502050,2018_1,8.37E+12,2.99E+12,5.38E+12,1.31E+12,1.54E+11,156822,32962679,5.17E+12
NAVER,266961,35420,서비스업,26,양방향미디어와서비스,G502050,2018_2,8.53E+12,2.85E+12,5.68E+12,1.36E+12,2.82E+11,153217,32962679,5.05E+12
NAVER,266961,35420,서비스업,26,양방향미디어와서비스,G502050,2018_3,9.91E+12,4.04E+12,5.88E+12,1.40E+12,68386763908,143801,32962679,4.74E+12
NAVER,266961,35420,서비스업,26,양방향미디어와서비스,G502050,2018_4,9.88E+12,3.93E+12,5.95E+12,5.59E+12,6.28E+11,121000,164813395,1.99E+13
NAVER,266961,35420,서비스업,26,양방향미디어와서비스,G502050,2019_1,1.09E+13,4.85E+12,6.05E+12,1.51E+12,87585903290,124000,164813395,2.04E+13
NAVER,266961,35420,서비스업,26,양방향미디어와서비스,G502050,2019_2,1.14E+13,5.17E+12,6.27E+12,1.63E+12,27756852975,114500,164813395,1.89E+13
NAVER,266961,35420,서비스업,26,양방향미디어와서비스,G502050,2019_3,1.18E+13,5.37E+12,6.44E+12,1.66E+12,85268053088,155000,164813395,2.55E+13
NAVER,266961,35420,서비스업,26,양방향미디어와서비스,G502050,2019_4,1.23E+13,5.80E+12,6.50E+12,6.59E+12,3.97E+11,187500,164813395,3.09E+13
NAVER,266961,35420,서비스업,26,양방향미디어와서비스,G502050,2020_1,1.38E+13,6.31E+12,7.46E+12,1.73E+12,1.35E+11,163500,164263395,2.69E+13
NAVER,266961,35420,서비스업,26,양방향미디어와서비스,G502050,2020_2,1.47E+13,6.72E+12,7.96E+12,1.90E+12,90682203810,268000,164263395,4.40E+13
NAVER,266961,35420,서비스업,26,양방향미디어와서비스,G502050,2020_3,1.55E+13,8.04E+12,7.41E+12,1.36E+12,2.35E+11,297500,164263395,4.89E+13
NAVER,266961,35420,서비스업,26,양방향미디어와서비스,G502050,2020_4,1.70E+13,8.76E+12,8.26E+12,5.30E+12,8.45E+11,291500,164263395,4.79E+13
삼성바이오로직스,877059,207940,의약품,9,제약,G352020,2020_1,5.94E+12,1.55E+12,4.39E+12,2.07E+11,36653025843,455000,66165000,3.01E+13
삼성바이오로직스,877059,207940,의약품,9,제약,G352020,2020_2,6.03E+12,1.59E+12,4.44E+12,3.08E+11,52018676934,784000,66165000,5.19E+13
삼성바이오로직스,877059,207940,의약품,9,제약,G352020,2020_3,6.14E+12,1.64E+12,4.50E+12,2.75E+11,56081371017,697000,66165000,4.61E+13
삼성바이오로직스,877059,207940,의약품,9,제약,G352020,2020_4,6.42E+12,1.83E+12,4.60E+12,1.16E+12,2.41E+11,819000,66165000,5.42E+13
카카오,258801,35720,서비스업,26,양방향미디어와서비스,G502050,2015_4,3.19E+12,6.03E+11,2.59E+12,9.32E+11,78764757714,23583,60096088,1.42E+12
카카오,258801,35720,서비스업,26,양방향미디어와서비스,G502050,2016_1,5.19E+12,1.77E+12,3.42E+12,2.42E+11,10949664522,20151,67439208,1.36E+12
카카오,258801,35720,서비스업,26,양방향미디어와서비스,G502050,2016_2,5.21E+12,1.70E+12,3.51E+12,3.77E+11,13238886896,18686,67510942,1.26E+12
카카오,258801,35720,서비스업,26,양방향미디어와서비스,G502050,2016_4,5.48E+12,1.78E+12,3.70E+12,1.46E+12,65455116983,15534,67615715,1.05E+12
카카오,258801,35720,서비스업,26,양방향미디어와서비스,G502050,2017_1,5.49E+12,1.75E+12,3.75E+12,4.44E+11,54485548398,16759,67716172,1.13E+12
카카오,258801,35720,서비스업,26,양방향미디어와서비스,G502050,2017_2,5.81E+12,1.82E+12,3.99E+12,4.68E+11,12502580952,20131,67781135,1.36E+12
카카오,258801,35720,서비스업,26,양방향미디어와서비스,G502050,2017_3,6.49E+12,2.05E+12,4.45E+12,5.15E+11,39901788492,29504,67839099,2.00E+12
LG화학,356361,51910,화학,8,화학,G151010,2015_4,1.86E+13,5.48E+12,1.31E+13,2.02E+13,1.15E+12,332500,66271100,2.20E+13
LG화학,356361,51910,화학,8,화학,G151010,2016_1,1.89E+13,5.75E+12,1.31E+13,4.87E+12,3.38E+11,333500,66271100,2.21E+13
LG화학,356361,51910,화학,8,화학,G151010,2016_2,1.98E+13,6.36E+12,1.35E+13,5.22E+12,3.75E+11,263500,66271100,1.75E+13
LG화학,356361,51910,화학,8,화학,G151010,2016_3,2.00E+13,6.37E+12,1.37E+13,5.05E+12,2.97E+11,242000,66271100,1.60E+13
LG화학,356361,51910,화학,8,화학,G151010,2016_4,2.05E+13,6.44E+12,1.41E+13,2.07E+13,1.28E+12,250000,66271100,1.66E+13
LG화학,356361,51910,화학,8,화학,G151010,2017_1,2.22E+13,7.27E+12,1.49E+13,6.49E+12,5.48E+11,298000,70592343,2.10E+13
LG화학,356361,51910,화학,8,화학,G151010,2017_2,2.27E+13,7.14E+12,1.55E+13,6.38E+12,5.90E+11,281000,70592343,1.98E+13
LG화학,356361,51910,화학,8,화학,G151010,2017_3,2.37E+13,7.59E+12,1.61E+13,6.40E+12,5.45E+11,396500,70592343,2.80E+13
LG화학,356361,51910,화학,8,화학,G151010,2017_4,2.50E+13,8.70E+12,1.63E+13,2.57E+13,2.02E+12,407000,70592343,2.87E+13
LG화학,356361,51910,화학,8,화학,G151010,2018_1,2.64E+13,9.91E+12,1.65E+13,6.55E+12,5.53E+11,394000,70592343,2.78E+13
LG화학,356361,51910,화학,8,화학,G151010,2018_2,2.74E+13,1.04E+13,1.70E+13,7.05E+12,4.93E+11,332500,70592343,2.35E+13
LG화학,356361,51910,화학,8,화학,G151010,2018_3,2.84E+13,1.12E+13,1.73E+13,7.23E+12,3.47E+11,365500,70592343,2.58E+13
LG화학,356361,51910,화학,8,화학,G151010,2018_4,2.89E+13,1.16E+13,1.73E+13,2.82E+13,1.52E+12,351000,70592343,2.48E+13
LG화학,356361,51910,화학,8,화학,G151010,2019_1,3.12E+13,1.40E+13,1.72E+13,6.64E+12,2.12E+11,367000,70592343,2.59E+13
LG화학,356361,51910,화학,8,화학,G151010,2019_2,3.24E+13,1.52E+13,1.73E+13,7.18E+12,83823000000,360000,70592343,2.54E+13
