종목,symbol,stock_code,업종,type_code,WICS,WICS_code,연도,자산,부채,자본,매출액,액면가
삼성전기,126371,9150,"전기,전자",13,전자장비와 기기,G452030,2015,7.27E+12,2.95E+12,4.32E+12,6.18E+12,62900
삼성전기,126371,9150,"전기,전자",13,전자장비와 기기,G452030,2016,7.66E+12,3.33E+12,4.34E+12,6.03E+12,50400
삼성전기,126371,9150,"전기,전자",13,전자장비와 기기,G452030,2017,7.77E+12,3.44E+12,4.33E+12,6.84E+12,100000
삼성전기,126371,9150,"전기,전자",13,전자장비와 기기,G452030,2018,8.64E+12,3.70E+12,4.95E+12,8.19E+12,104500
삼성전기,126371,9150,"전기,전자",13,전자장비와 기기,G452030,2019,8.67E+12,3.24E+12,5.43E+12,8.04E+12,126000
삼성전기,126371,9150,"전기,전자",13,전자장비와 기기,G452030,2020,9.23E+12,3.32E+12,5.91E+12,8.21E+12,178000
LG,120021,3550,금융업,21,복합기업,G201050,2015,1.81E+13,4.82E+12,1.33E+13,9.97E+12,65937
LG,120021,3550,금융업,21,복합기업,G201050,2016,1.95E+13,5.27E+12,1.42E+13,1.07E+13,56301
LG,120021,3550,금융업,21,복합기업,G201050,2017,2.16E+13,5.47E+12,1.62E+13,1.18E+13,85869
LG,120021,3550,금융업,21,복합기업,G201050,2018,2.28E+13,4.67E+12,1.82E+13,1.19E+13,65559
LG,120021,3550,금융업,21,복합기업,G201050,2019,2.24E+13,3.41E+12,1.90E+13,6.58E+12,69999
LG,120021,3550,금융업,21,복합기업,G201050,2020,2.43E+13,3.42E+12,2.09E+13,6.63E+12,83130
포스코케미칼,155276,3670,비금속광물,10,화학,G151010,2015,7.18E+11,1.79E+11,5.38E+11,1.22E+12,12812
포스코케미칼,155276,3670,비금속광물,10,화학,G151010,2016,7.24E+11,1.54E+11,5.69E+11,1.12E+12,11309
포스코케미칼,155276,3670,비금속광물,10,화학,G151010,2017,8.36E+11,1.84E+11,6.52E+11,1.20E+12,37919
포스코케미칼,155276,3670,비금속광물,10,화학,G151010,2018,9.48E+11,1.89E+11,7.58E+11,1.38E+12,60539
포스코케미칼,155276,3670,비금속광물,10,화학,G151010,2019,1.73E+12,7.24E+11,1.01E+12,1.48E+12,46506
포스코케미칼,155276,3670,비금속광물,10,화학,G151010,2020,2.09E+12,1.06E+12,1.02E+12,1.57E+12,105000
SK텔레콤,159023,17670,통신업,20,무선통신서비스,G501020,2015,2.86E+13,1.32E+13,1.54E+13,1.71E+13,37009
SK텔레콤,159023,17670,통신업,20,무선통신서비스,G501020,2016,3.13E+13,1.52E+13,1.61E+13,1.71E+13,38648
SK텔레콤,159023,17670,통신업,20,무선통신서비스,G501020,2017,3.34E+13,1.54E+13,1.80E+13,1.75E+13,46067
SK텔레콤,159023,17670,통신업,20,무선통신서비스,G501020,2018,4.24E+13,2.00E+13,2.23E+13,1.69E+13,46153
SK텔레콤,159023,17670,통신업,20,무선통신서비스,G501020,2019,4.46E+13,2.18E+13,2.28E+13,1.77E+13,41149
SK텔레콤,159023,17670,통신업,20,무선통신서비스,G501020,2020,4.79E+13,2.35E+13,2.44E+13,1.86E+13,41149
HMM,164645,11200,운수창고,19,해운사,G203030,2015,5.94E+12,5.71E+12,2.29E+11,5.77E+12,26357
HMM,164645,11200,운수창고,19,해운사,G203030,2016,4.40E+12,3.45E+12,9.51E+11,4.58E+12,6074
HMM,164645,11200,운수창고,19,해운사,G203030,2017,3.60E+12,2.71E+12,8.97E+11,5.03E+12,5110
HMM,164645,11200,운수창고,19,해운사,G203030,2018,4.12E+12,3.08E+12,1.04E+12,5.22E+12,3745
HMM,164645,11200,운수창고,19,해운사,G203030,2019,7.16E+12,6.07E+12,1.09E+12,5.51E+12,3555
HMM,164645,11200,운수창고,19,해운사,G203030,2020,9.37E+12,7.68E+12,1.69E+12,6.41E+12,14900
케이티앤지,244455,33780,미분류,-1,담배,G302030,2015,8.59E+12,2.35E+12,6.23E+12,4.13E+12,104000
케이티앤지,244455,33780,미분류,-1,담배,G302030,2016,9.73E+12,2.68E+12,7.05E+12,4.47E+12,101000
케이티앤지,244455,33780,미분류,-1,담배,G302030,2017,1.00E+13,2.16E+12,7.86E+12,4.67E+12,115000
케이티앤지,244455,33780,미분류,-1,담배,G302030,2018,1.02E+13,2.03E+12,8.17E+12,4.47E+12,100500
케이티앤지,244455,33780,미분류,-1,담배,G302030,2019,1.08E+13,2.01E+12,8.74E+12,4.96E+12,93800
케이티앤지,244455,33780,미분류,-1,담배,G302030,2020,1.15E+13,2.38E+12,9.09E+12,5.30E+12,83000
삼성에스디에스,126186,18260,서비스업,26,IT서비스,G451020,2015,6.33E+12,1.55E+12,4.78E+12,7.85E+12,252000
삼성에스디에스,126186,18260,서비스업,26,IT서비스,G451020,2016,6.84E+12,1.55E+12,5.29E+12,8.18E+12,141000
삼성에스디에스,126186,18260,서비스업,26,IT서비스,G451020,2017,7.28E+12,1.56E+12,5.72E+12,9.30E+12,200000
삼성에스디에스,126186,18260,서비스업,26,IT서비스,G451020,2018,8.01E+12,1.87E+12,6.15E+12,1.00E+13,205000
삼성에스디에스,126186,18260,서비스업,26,IT서비스,G451020,2019,9.02E+12,2.30E+12,6.73E+12,1.07E+13,194500
삼성에스디에스,126186,18260,서비스업,26,IT서비스,G451020,2020,9.15E+12,2.30E+12,6.86E+12,1.10E+13,179000
넷마블,904672,251270,서비스업,26,게임엔터테인먼트,G502040,2017,5.35E+12,8.82E+11,4.47E+12,2.42E+12,188500
넷마블,904672,251270,서비스업,26,게임엔터테인먼트,G502040,2018,5.43E+12,8.82E+11,4.55E+12,2.02E+12,113500
넷마블,904672,251270,서비스업,26,게임엔터테인먼트,G502040,2019,5.81E+12,1.16E+12,4.65E+12,2.18E+12,92200
넷마블,904672,251270,서비스업,26,게임엔터테인먼트,G502040,2020,8.22E+12,2.57E+12,5.65E+12,2.48E+12,132000
두산중공업,159616,34020,기계,12,기계,G201060,2015,2.73E+13,2.02E+13,7.03E+12,1.62E+13,16248
두산중공업,159616,34020,기계,12,기계,G201060,2016,2.48E+13,1.80E+13,6.82E+12,1.39E+13,21599
두산중공업,159616,34020,기계,12,기계,G201060,2017,2.50E+13,1.84E+13,6.57E+12,1.45E+13,12126
두산중공업,159616,34020,기계,12,기계,G201060,2018,2.48E+13,1.86E+13,6.22E+12,1.48E+13,7767
