name,symbol,stock_code,type,type_code,WICS,WICS_code,time,avg_salary,employee_num,assets,dept,equity,income,real_income,price,stock_count,total_value
LG화학,356361,51910,화학,8,화학,G151010,2017_1,19600000,16834,2.21712E+13,7.26533E+12,1.49058E+13,6.48667E+12,5.48097E+11,298000,70592343,2.10365E+13
LG화학,356361,51910,화학,8,화학,G151010,2017_2,36800000,16750,2.26711E+13,7.13648E+12,1.55346E+13,6.38206E+12,5.90322E+11,281000,70592343,1.98364E+13
LG화학,356361,51910,화학,8,화학,G151010,2017_3,57500000,16930,2.37076E+13,7.58575E+12,1.61218E+13,6.39708E+12,5.45452E+11,396500,70592343,2.79899E+13
LG화학,356361,51910,화학,8,화학,G151010,2017_4,76200000,16839,2.50412E+13,8.70264E+12,1.63386E+13,2.5698E+13,2.02197E+12,407000,70592343,2.87311E+13
LG화학,356361,51910,화학,8,화학,G151010,2018_1,19500000,17457,2.64155E+13,9.90526E+12,1.65102E+13,6.55359E+12,5.52744E+11,394000,70592343,2.78134E+13
LG화학,356361,51910,화학,8,화학,G151010,2018_2,40800000,17638,2.73993E+13,1.03906E+13,1.70087E+13,7.05185E+12,4.93395E+11,332500,70592343,2.3472E+13
LG화학,356361,51910,화학,8,화학,G151010,2018_3,55500000,18348,2.84193E+13,1.11619E+13,1.72573E+13,7.23486E+12,3.466E+11,365500,70592343,2.58015E+13
LG화학,356361,51910,화학,8,화학,G151010,2018_4,75000000,18431,2.89441E+13,1.1622E+13,1.73221E+13,2.8183E+13,1.51931E+12,351000,70592343,2.47779E+13
LG화학,356361,51910,화학,8,화학,G151010,2019_1,24900000,19655,3.12123E+13,1.4013E+13,1.71993E+13,6.63907E+12,2.11938E+11,367000,70592343,2.59074E+13
LG화학,356361,51910,화학,8,화학,G151010,2019_2,42600000,19667,3.24355E+13,1.51567E+13,1.72789E+13,7.17744E+12,83823000000,360000,70592343,2.54132E+13
LG화학,356361,51910,화학,8,화학,G151010,2019_3,58700000,20132,3.35308E+13,1.604E+13,1.74908E+13,7.3473E+12,1.37185E+11,300000,70592343,2.11777E+13
LG화학,356361,51910,화학,8,화학,G151010,2019_4,79200000,20162,3.40244E+13,1.66406E+13,1.73838E+13,2.8625E+13,3.76104E+11,321000,70592343,2.26601E+13
LG화학,356361,51910,화학,8,화학,G151010,2020_1,21300000,20090,3.71211E+13,1.9705E+13,1.74161E+13,7.11573E+12,36347000000,306500,70592343,2.16366E+13
LG화학,356361,51910,화학,8,화학,G151010,2020_2,39400000,20009,3.85763E+13,2.07339E+13,1.78424E+13,6.93519E+12,4.1907E+11,501000,70592343,3.53668E+13
LG화학,356361,51910,화학,8,화학,G151010,2020_3,61300000,19979,4.00189E+13,2.11983E+13,1.88206E+13,7.50728E+12,5.70387E+11,670000,70592343,4.72969E+13
LG화학,356361,51910,화학,8,화학,G151010,2020_4,81750000,12561,4.13889E+13,2.25985E+13,1.87904E+13,3.00765E+13,6.82408E+11,849000,70592343,5.99329E+13
삼성SDI,126362,6400,"전기,전자",13,전기제품,G453520,2015_4,72166666.67,11084,1.62253E+13,4.97211E+12,1.12532E+13,7.56933E+12,25685765743,115500,68764530,7.9423E+12
삼성SDI,126362,6400,"전기,전자",13,전기제품,G453520,2016_1,19250000,9698,1.52568E+13,5.02873E+12,1.02281E+13,1.29071E+12,7.17234E+11,99700,68764530,6.85582E+12
삼성SDI,126362,6400,"전기,전자",13,전기제품,G453520,2016_2,34500000,9422,1.58867E+13,4.68532E+12,1.12014E+13,1.31724E+12,9.55811E+11,107500,68764530,7.39219E+12
삼성SDI,126362,6400,"전기,전자",13,전기제품,G453520,2016_3,50750000,9374,1.52438E+13,4.12684E+12,1.11169E+13,1.28999E+12,35166313566,98100,68764530,6.7458E+12
삼성SDI,126362,6400,"전기,전자",13,전기제품,G453520,2016_4,77500000,9115,1.49003E+13,3.9362E+12,1.09641E+13,5.20082E+12,2.11111E+11,103500,68764530,7.11713E+12
삼성SDI,126362,6400,"전기,전자",13,전기제품,G453520,2017_1,18250000,9080,1.46821E+13,3.8983E+12,1.07838E+13,1.30478E+12,81653755730,138000,68764530,9.48951E+12
삼성SDI,126362,6400,"전기,전자",13,전기제품,G453520,2017_2,31500000,9145,1.52441E+13,4.08552E+12,1.11586E+13,1.45431E+12,1.86593E+11,165500,68764530,1.13805E+13
삼성SDI,126362,6400,"전기,전자",13,전기제품,G453520,2017_3,52500000,9356,1.56003E+13,4.34247E+12,1.12579E+13,1.70801E+12,1.34953E+11,203000,68764530,1.39592E+13
삼성SDI,126362,6400,"전기,전자",13,전기제품,G453520,2017_4,74000000,9334,1.57515E+13,4.29948E+12,1.1452E+13,6.32156E+12,6.43194E+11,207500,68764530,1.42686E+13
삼성SDI,126362,6400,"전기,전자",13,전기제품,G453520,2018_1,18500000,9753,1.63433E+13,4.69712E+12,1.16462E+13,1.90887E+12,1.60273E+11,200000,68764530,1.37529E+13
삼성SDI,126362,6400,"전기,전자",13,전기제품,G453520,2018_2,32500000,9820,1.68905E+13,5.13479E+12,1.17557E+13,2.24796E+12,1.04677E+11,215000,68764530,1.47844E+13
삼성SDI,126362,6400,"전기,전자",13,전기제품,G453520,2018_3,49500000,10296,1.8426E+13,6.39057E+12,1.20354E+13,2.5228E+12,2.14092E+11,259500,68764530,1.78444E+13
삼성SDI,126362,6400,"전기,전자",13,전기제품,G453520,2018_4,71500000,10390,1.93497E+13,7.1245E+12,1.22252E+13,9.15827E+12,7.45049E+11,222000,68764530,1.52657E+13
삼성SDI,126362,6400,"전기,전자",13,전기제품,G453520,2019_1,17250000,10569,1.95543E+13,7.24472E+12,1.23095E+13,2.30406E+12,57896315369,218000,68764530,1.49907E+13
삼성SDI,126362,6400,"전기,전자",13,전기제품,G453520,2019_2,35250000,10650,1.97658E+13,7.24858E+12,1.25172E+13,2.40451E+12,1.60201E+11,239500,68764530,1.64691E+13
삼성SDI,126362,6400,"전기,전자",13,전기제품,G453520,2019_3,53250000,10772,1.9737E+13,6.98138E+12,1.27556E+13,2.56794E+12,2.17372E+11,220000,68764530,1.51282E+13
삼성SDI,126362,6400,"전기,전자",13,전기제품,G453520,2019_4,74750000,11179,1.98521E+13,7.19175E+12,1.26603E+13,1.00974E+13,4.02366E+11,237000,68764530,1.62972E+13
삼성SDI,126362,6400,"전기,전자",13,전기제품,G453520,2020_1,16750000,11428,1.98869E+13,7.42264E+12,1.24643E+13,2.39753E+12,728532029,245500,68764530,1.68817E+13
삼성SDI,126362,6400,"전기,전자",13,전기제품,G453520,2020_2,33000000,11066,2.054E+13,7.88784E+12,1.26521E+13,2.55861E+12,47696807401,369500,68764530,2.54085E+13
삼성SDI,126362,6400,"전기,전자",13,전기제품,G453520,2020_3,53000000,11199,2.08094E+13,7.84472E+12,1.29647E+13,3.08724E+12,2.40689E+11,433500,68764530,2.98094E+13
삼성SDI,126362,6400,"전기,전자",13,전기제품,G453520,2020_4,81000000,11107,2.15342E+13,8.17531E+12,1.33589E+13,1.12948E+13,6.30966E+11,660000,68764530,4.53846E+13
현대자동차,164742,5380,운수장비,15,자동차,G251020,2015_4,85500000,66404,1.65368E+14,9.84865E+13,6.68814E+13,9.19587E+13,6.50917E+12,147500,220276479,3.24908E+13
현대자동차,164742,5380,운수장비,15,자동차,G251020,2016_1,16500000,66725,1.65127E+14,9.76262E+13,6.75012E+13,2.23506E+13,1.76813E+12,156000,220276479,3.43631E+13
