종목,심볼번호,고유번호,업종,업종코드,WICS,WICS코드,time,avg_salary,employee_num,자산총계,부채총계,자본총계,매출액,당기순이익,시가,
위메이드,A112040,444329,디지털컨텐츠,154,게임엔터테인먼트,G502040,2015_4,-,-,493478634151 ,78680161292 ,414798472859 ,-,(123916028232),17175,
위메이드,A112040,444329,디지털컨텐츠,154,게임엔터테인먼트,G502040,2016_1,11000000,335,452768000000 ,63662618920 ,389105000000 ,32001792512 ,(29749785865),16139,
위메이드,A112040,444329,디지털컨텐츠,154,게임엔터테인먼트,G502040,2016_2,25000000,163,439649000000 ,61226518058 ,378422000000 ,25917137182 ,(12165483873),12629,
위메이드,A112040,444329,디지털컨텐츠,154,게임엔터테인먼트,G502040,2016_3,37.75,99,423683000000 ,66786776638 ,356896000000 ,-,(22051493793),10052,
위메이드,A112040,444329,디지털컨텐츠,154,게임엔터테인먼트,G502040,2016_4,-,-,403341396825 ,55157747142 ,348183649683 ,107978511100 ,(73000608698),12275,
위메이드,A112040,444329,디지털컨텐츠,154,게임엔터테인먼트,G502040,2017_1,13500000,82,429050000000 ,79651891092 ,349398000000 ,33846192789 ,(2458443630),14851,
위메이드,A112040,444329,디지털컨텐츠,154,게임엔터테인먼트,G502040,2017_2,13250000,80,425909000000 ,86562670045 ,339347000000 ,22189663556 ,(86740912),16670,
위메이드,A112040,444329,디지털컨텐츠,154,게임엔터테인먼트,G502040,2017_3,35500000,50,437229000000 ,94688416673 ,342541000000 ,24388597516 ,3026251015 ,16342,
위메이드,A112040,444329,디지털컨텐츠,154,게임엔터테인먼트,G502040,2017_4,-,-,453300811280 ,111265620957 ,342035190323 ,109568498519 ,(885023302),23591,
위메이드,A112040,444329,디지털컨텐츠,154,게임엔터테인먼트,G502040,2018_1,10666666.67,54,476989000000 ,137943000000 ,339046000000 ,35096049106 ,4460290570 ,26167,
위메이드,A112040,444329,디지털컨텐츠,154,게임엔터테인먼트,G502040,2018_2,23000000,56,435025000000 ,93274143187 ,341751000000 ,27772908493 ,1479229159 ,23591,
위메이드,A112040,444329,디지털컨텐츠,154,게임엔터테인먼트,G502040,2018_3,34000000,59,424313000000 ,99579164701 ,324734000000 ,31791172314 ,(7428772797),15609,
위메이드,A112040,444329,디지털컨텐츠,154,게임엔터테인먼트,G502040,2018_4,-,-,350825087723 ,75243840838 ,275581246885 ,127075870093 ,(48528176488),11467,
위메이드,A112040,444329,디지털컨텐츠,154,게임엔터테인먼트,G502040,2019_1,13500000,58,340342000000 ,81843611345 ,258499000000 ,26686387052 ,(7220405416),25662,
위메이드,A112040,444329,디지털컨텐츠,154,게임엔터테인먼트,G502040,2019_2,26000000,58,321094000000 ,63177892588 ,257916000000 ,33873227472 ,(110126259),16872,
위메이드,A112040,444329,디지털컨텐츠,154,게임엔터테인먼트,G502040,2019_3,40500000,59,317608000000 ,59666625243 ,257941000000 ,28946166901 ,(480367894),15079,
위메이드,A112040,444329,디지털컨텐츠,154,게임엔터테인먼트,G502040,2019_4,-,-,296259242835 ,61598029106 ,234661213729 ,113648123517 ,(28698789113),15458,
위메이드,A112040,444329,디지털컨텐츠,154,게임엔터테인먼트,G502040,2020_1,14500000,55,307895000000 ,71784661579 ,236110000000 ,30820310003 ,7900033657 ,10002,
위메이드,A112040,444329,디지털컨텐츠,154,게임엔터테인먼트,G502040,2020_2,16250000,102,309384000000 ,71870991696 ,237513000000 ,25077924329 ,(5222047338),20257,
위메이드,A112040,444329,디지털컨텐츠,154,게임엔터테인먼트,G502040,2020_3,28500000,120,308295000000 ,74501307386 ,233794000000 ,23729357557 ,(11515753485),18691,
위메이드,A112040,444329,디지털컨텐츠,154,게임엔터테인먼트,G502040,2020_4,-,-,323370694038 ,67350352265 ,256020341773 ,126242137495 ,(18361927120),19170,
셀트리온제약,A068760,541349,제약,66,제약,G352020,2015_1,11000000,383,-,-,-,-,-,15436,
셀트리온제약,A068760,541349,제약,66,제약,G352020,2015_2,21500000,381,-,-,-,-,-,13739,
셀트리온제약,A068760,541349,제약,66,제약,G352020,2015_3,21500000,381,-,-,-,-,-,10813,
셀트리온제약,A068760,541349,제약,66,제약,G352020,2015_4,-,-,466771900807 ,230537478606 ,236234422201 ,74732429050 ,6733913573 ,13825,
셀트리온제약,A068760,541349,제약,66,제약,G352020,2016_1,11000000,425,470031000000 ,195898000000 ,274133000000 ,17955591680 ,1405823017 ,14458,
셀트리온제약,A068760,541349,제약,66,제약,G352020,2016_2,21000000,608,477413000000 ,176674000000 ,300739000000 ,25907505372 ,151189871 ,20531,
셀트리온제약,A068760,541349,제약,66,제약,G352020,2016_3,29500000,497,484425000000 ,182114000000 ,302311000000 ,22123534653 ,1234840519 ,21841,
셀트리온제약,A068760,541349,제약,66,제약,G352020,2016_4,-,-,510022345007 ,165374761628 ,344647583379 ,104811184059 ,2915525644 ,20531,
셀트리온제약,A068760,541349,제약,66,제약,G352020,2017_1,12000000,510,500806000000 ,157698000000 ,343109000000 ,22164656831 ,(1574888830),19236,
셀트리온제약,A068760,541349,제약,66,제약,G352020,2017_2,24500000,510,507709000000 ,163531000000 ,344178000000 ,33846527195 ,1066344084 ,19878,
셀트리온제약,A068760,541349,제약,66,제약,G352020,2017_3,31000000,588,513348000000 ,168407000000 ,344942000000 ,34493162544 ,705914830 ,17496,
셀트리온제약,A068760,541349,제약,66,제약,G352020,2017_4,-,-,519619474476 ,176645641783 ,342973832693 ,135860255627 ,(2876820288),56887,
셀트리온제약,A068760,541349,제약,66,제약,G352020,2018_1,12000000,690,491899000000 ,169015000000 ,322884000000 ,27320066456 ,(747804285),78751,
셀트리온제약,A068760,541349,제약,66,제약,G352020,2018_2,23500000,669,495300000000 ,175734000000 ,319566000000 ,34298534927 ,(3776832336),84450,
셀트리온제약,A068760,541349,제약,66,제약,G352020,2018_3,35000000,665,451043000000 ,182066000000 ,268977000000 ,34737748317 ,(3804277066),74267,
셀트리온제약,A068760,541349,제약,66,제약,G352020,2018_4,-,-,452444114844 ,182409436191 ,270034678653 ,146880153915 ,(9388770745),55863,
셀트리온제약,A068760,541349,제약,66,제약,G352020,2019_1,12000000,613,445918000000 ,175452000000 ,270466000000 ,38589446896 ,284312488 ,51660,
셀트리온제약,A068760,541349,제약,66,제약,G352020,2019_2,24000000,605,460663000000 ,187893000000 ,272770000000 ,42621269467 ,1995354475 ,45120,
셀트리온제약,A068760,541349,제약,66,제약,G352020,2019_3,34000000,638,455475000000 ,180321000000 ,275154000000 ,47435556126 ,2049642891 ,33490,
셀트리온제약,A068760,541349,제약,66,제약,G352020,2019_4,-,-,470980395573 ,190949017962 ,280031377611 ,173512796760 ,8602167882 ,34190,
셀트리온제약,A068760,541349,제약,66,제약,G352020,2020_1,15500000,685,486940000000 ,205621000000 ,281320000000 ,44389290759 ,2227241984 ,66776,
셀트리온제약,A068760,541349,제약,66,제약,G352020,2020_2,25500000,776,501374000000 ,215745000000 ,285629000000 ,46393015625 ,3893722798 ,128454,
셀트리온제약,A068760,541349,제약,66,제약,G352020,2020_3,36000000,808,527832000000 ,238279000000 ,289553000000 ,65491837462 ,4010338451 ,111392,
셀트리온제약,A068760,541349,제약,66,제약,G352020,2020_4,-,-,548074597598 ,247513800382 ,300560797216 ,233568477708 ,20939675880 ,224353,
SK머티리얼즈,A036490,110051,반도체,159,디스플레이장비 및 부품,G454020,2015_1,10000000,409,-,-,-,-,-,96700,
SK머티리얼즈,A036490,110051,반도체,159,디스플레이장비 및 부품,G454020,2015_2,18500000,441,-,-,-,-,-,127100,
SK머티리얼즈,A036490,110051,반도체,159,디스플레이장비 및 부품,G454020,2015_3,29500000,451,-,-,-,-,-,90300,
SK머티리얼즈,A036490,110051,반도체,159,디스플레이장비 및 부품,G454020,2015_4,-,-,665121655802 ,288765359839 ,376356295963 ,338019707321 ,66150544650 ,109900,
SK머티리얼즈,A036490,110051,반도체,159,디스플레이장비 및 부품,G454020,2016_1,11000000,486,693844000000 ,320110000000 ,373735000000 ,97337587647 ,24505110045 ,112000,
